parent_sha,commit_sha,file_path,old_path,new_path,commit_message,diff_myers,diff_hist
,4c570faa8bc4608609f0e531452f9941e4a272b3,LICENSE,,LICENSE,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,MANIFEST.in,,MANIFEST.in,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,Makefile,,Makefile,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,README,,README,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/__init__.py,,lib/yaml/__init__.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/composer.py,,lib/yaml/composer.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/constructor.py,,lib/yaml/constructor.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/error.py,,lib/yaml/error.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/events.py,,lib/yaml/events.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/nodes.py,,lib/yaml/nodes.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/parser.py,,lib/yaml/parser.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/reader.py,,lib/yaml/reader.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/resolver.py,,lib/yaml/resolver.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/scanner.py,,lib/yaml/scanner.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,lib/yaml/tokens.py,,lib/yaml/tokens.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,setup.py,,setup.py,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,tests/data/bool.data,,tests/data/bool.data,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,tests/data/bool.detect,,tests/data/bool.detect,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,tests/data/construct-binary.code,,tests/data/construct-binary.code,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,tests/data/construct-binary.data,,tests/data/construct-binary.data,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,tests/data/construct-bool.code,,tests/data/construct-bool.code,Move pyyaml3000 to a separate directory.,,
,4c570faa8bc4608609f0e531452f9941e4a272b3,tests/data/construct-bool.data,,tests/data/construct-bool.data,Move pyyaml3000 to a separate directory.,,
